,job_information,job_title
16,"he Position

Nasuni is seeking a Senior Analyst, Business Analytics to help drive the growth of our Business Analytics team. Reporting to the Manager of Business Analytics and Strategy, this individual will play a crucial role in the management of Nasuni’s data warehouse and enabling key business stakeholders to make timely and data driven decisions. In addition to a deep technical and analytical skillset, this person will be able to leverage their business facing skills by partnering with their Finance, Strategy and Operations counterparts to obtain a deep understanding of the business and how data can be used to drive the strategic decisions in the company.

Responsibilities
Serve as the primary administrator of Nasuni’s data warehouse, ensuring that data is accurately and efficiently entering the system and enabling the Business Analytics team to report accurately to the business
Build processes and standards to report consistent metrics across the organization while building trust along the way
Partner with companywide system owners to obtain an understanding of the company’s various data sources and making sure that the data warehouse is the single source of truth
Answer pressing business questions by processing requests into visualizations and being able to concisely deliver the main takeaways in both written and verbal forums
Able to understand and explain system architecture while maintaining a data dictionary and documentation
Excellent organizational skills, detail oriented, and able to complete tasks with extremely high accuracy
Ability to prioritize and multi-task in a fast-paced dynamic environment
Qualifications
3-5 years of experience in Business Analytics/Intelligence, Data Analytics or a similar role
Prior experience using Snowflake or similar data warehouse platform
Proficient in SQL
Ability to effectively produce data visualizations in tools such as Tableau, Looker, etc
Expert in thriving in a highly collaborative environment as well as in an independent capacity
Effective data communication skills, possessing the ability to transform large data sets into meaningful dashboards which can be converted into actionable sources of information
Why work at Nasuni?
As part of our commitment to your well-being, we are pleased to offer comprehensive benefits packages to employees across the world. Benefits packages vary by geography, but generally include:
Take-What-You-Need paid time off
Incentive stock options
Comprehensive health, dental, and vision plans
Life and disability insurance
Retirement plan
Generous employee referral bonuses
To all recruitment agencies: Nasuni does not accept agency resumes. Please do not forward resumes to our job boards, Nasuni employees or any other company location. Nasuni is not responsible for any fees related to unsolicited resumes.

Nasuni is an equal opportunity employer. The equal employment opportunity policy at Nasuni protects employees and job applicants from discrimination on the bases of race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, or other non-merit based factors. These protections extend to all management practices and decisions, including recruitment and hiring practices, appraisal systems, promotions, and training and career development programs","enior Analyst, Business Analytic"
17,"areer Opportunities

Job Title:
Director Production Development - Corporate

Qualifications:
• Bachelor’s degree in architecture, engineering, or related discipline, plus minimum five years experience, including AutoCAD drafting
Preferred Education and Experience

• Professional Engineer licensure

• LEED certification and understanding of sustainable design

• 10 or more years of progressive project responsibility on large complex projects

Key Success Factors

• Excellent written and oral communication skills along with presentation techniques

• Strict adherence to deadlines

• Extensive experience in/exposure to consultant management

• Strong interpersonal skills including the ability to effectively motivate and influence others.

• Proven skills for developing teamwork and collaboration.

• Ability to explain and interpret municipal and building codes, and related regulatory requirements.

• Ability and willingness to travel

• Proficiency with MS Office, including: Excel, Word, and Power Point

• Proven ability to map processes

• Proficiency with AutoCAD and Revit

• Experience with product library creation

Competency Model

1. · Strong leadership skills.

2. · Strong creativity and problem solving skills

3. · Excellent communication skills.

4. · Business acumen, strong analytical and strategic mind.

5. · Effective negotiator

Description:
Consultant Management:
a. Develop and execute standardized scopes of work for all architectural and engineering consultants engaged by the company

b. Work with divisional operational leaders to drive consistently executed, best-in-class construction details that support evidence based building science

c. Take leadership role in improving the knowledge and understanding of construction details to division operations personnel

d. Align architectural and engineering resources with corporate business plan execution

e. Work with company leadership to support and execute the company’s sustainable building practices, including energy consultant management and sustainable program certifications, such as Energy Star, Indoor Air Plus, LEED, etc..

f. Develop and maintain product library

Product Design:
a. Originate new products in concert with divisional leadership, Consumer Insights team, customer needs and business model

b. Select ideal design concepts and fundamental technology used for new products or improvement for existing ones

c. Develops and implements methods and procedures for monitoring projects such as research findings, progress reports, and staff communication, in order to inform management of current status of each project

d. Works with Consumer Insights team to provide feedback on aspects of research and development proposals such as objective or purpose of project, applications that can be utilized from findings, costs of project, and equipment and human resource requirements

e. Collaborate with international product development team to evaluate and execute global lifestyle design initiatives

Salary Range:
DOE

Contact:
julieann.whittaker@woodsidehomes.co",irector Production Developmen
18,"awkins Point Partners has an immediate need on its Cambridge, Massachusetts team for a Senior Business Analyst with expertise supporting scientific software implementations (Chromatography and LIMS). This person will provide software updates/enhancements to a mission critical Laboratory Management System. This person will perform as trusted advisor between business (drug scientific research team) and software vendor partners. This Lab Management System combines synergistic data, workflow, and sample management capabilities. Experience supporting the entire drug product lifecycle from discovery through manufacturing. Must have FDA validated technology systems experience and GxP experience. Strong project coordination and facilitation skills are a must. Ideal candidate will have experience supporting technology system environments. The ideal candidate will write technical and business specifications, perform UAT and document chromatography software to ensure efficient development across GC and HPLC instruments. Excellent customer service skills required to support outside vendors along with detailed documentation to support chromatographic data processing and interpretation.

Core Skills:
Eight years of Information technology experience supporting Chromatography and LIMS.
Strong software testing (UAT) and documentation.
Experience supporting business sponsors and providing detailed documentation of business (functional and technical) specifications in a GxP environment.
Experience supporting validation software results, writing SOPs to document process.
Strong attention to detail and documentation tracking skills. Ability to provide status reports for upper management regarding status of project.
Team building and strong customer service skills along with vendor management skills.
Bachelor of science or related advanced educational degree.
Powered by JazzH",enior Business Analys
19,"verview


14 West is looking for a teammate that is energized by solving complex problems and thrives as part of a team that is dedicated to consistently delivering value to our customers.

As a member of the 14 West Payments Team, the Business Analyst is accountable for contributing to the successful delivery of products and solutions related to payment processing for hundreds of thousands of monthly orders for a global organization. The successful candidate will fully understand the complexities of our business operations and develop a productive partnership with other technology product owners, business stakeholders, vendors, and technical team members. They will more specifically be responsible for aligning business objectives to technical requirements and work with the product owner and solutions architects to design technical solutions.

The business and other technology departments will consider the Business Analyst to be a payments expert and to be their business and systems lead. The role is a pivotal resource in the execution of projects and system sustainment.

In 2016, 2017, 2018, and 2019, 14 West was voted one of Baltimore’s Top Workplaces by The Baltimore Sun. You can learn more about life at 14 West by checking out our WestWord blog.

Responsibilities
Create clear, understandable recommendations and solutions that engineers within the technology team can use to create systems and tools to meet the needs of business objectives
Elicit business requirements, analyze, specify/refine, and validate requirements with stakeholders to determine necessary steps for a minimal viable product, and work with the product owner to prioritize user stories an overall feature release plan
Translate business requirements for both technical and non-technical support teams clearly and concisely. Document user stories to ensure backlog is outpacing development work. Assist product owner with prioritizing user stories
Produce documentation for QA team to assist in development of test cases. Write use cases or specifications for changes
Translate technical requirements for end user documentation and assist in production of audience-appropriate training material
Carry out duties according to priority and submit necessary documentation in a timely fashion with respect to explicit and implicit deadlines
Develop and maintain clear standards for requirements documentation
Complete Operational Reviews
Conducting and analyzing data to develop informative conclusions and recommendations
Test implemented changes for bugs and accuracy to the business requirements
Analyze how requests impact other systems and business processes
Evaluate information from multiple sources to help distinguish user request from user needs to ensure any feature that is delivered will have demonstrable value to business operations
Qualifications
3+ years’ experience performing business analysis and solutions delivery in the e-commerce space. Experience in subscription billing and global payments is a plus
Bachelor’s degree in Computer Science or equivalent experience
Familiarity with Accounting and Finance systems
Experience developing, supporting and maintaining software applications. Experience with Java, JavaScript, and/or REST API’s a plus
Experience working in Agile software development. Scrum a plus
Comfortable assisting with the design efforts of large software development initiatives
Strong written and verbal skills with the ability to communicate with both technical and non-technical audiences
Positive attitude and a constant learner
Creative thinker with strong problem solving skills
Proven ability to thrive in a fast-paced collaborative team environment
A sense of ownership and responsibility for successful delivery
We offer a wide variety of benefits, programs, and services to our employees, including:

Medical, vision, and dental insurance plans.
Employer-subsidized parking.
401(k) plan with employer matching.
Generous vacation time and paid holidays.
Fitness programs and discounts.
Casual dress code.
About 14 West

14 West is the business services arm of The Agora, a network for more than 40 of the world’s most innovative media and marketing companies. By relying on us, The Agora Companies enjoy the unique luxury of focusing on the work they want to do… not the work they have to do. We share a history and a heritage with the businesses we support, and custom tailor our administrative and technical strategies to suit them. We believe passion is a critical ingredient in the services we provide. And we strive to deliver leading-edge yet sustainable solutions that promote perpetual growth.

#MOVEWESTWORD

#LI-BC",usiness Analys
20,"urpose of the Position:
The Manager, Enterprise Data will lead the Enterprise Data Management Team from both a managerial and architectural perspective. This role will serve as the organization’s data champion and liaison to the business, while cultivating, mentoring, and leading the team that will implement and execute their data vision while being very hands on in the day to day execution.
The Manager, Enterprise Data reports to the Senior Director, Data and Software Engineering.
Key Responsibilities:
Functional:
Ensure that all project participants are fully informed and educated on the impact (positive or negative) their project will have on UMA's Enterprise Data. Understand and successfully communicate how data is, or will be, used, the implications on people, process and technology.
Become the liaison between the data consumer representatives and the data solution development, integration and governance teams as well as be able to serve as the lead architect on major data related projects.
Create and enforce a set of overall standards for documenting development requirements for all data centric projects, reports, and bug/break fixes.
Ensure all project development efforts regardless of size are properly accounted for and held to a high standard of data integrity, provide visibility to all stakeholders, and align with all the overall data goals and governance set forth by UMA.
Provides consultation on complex projects and become the primary contributor/specialist for multiple applications or technologies.
Guide your team of resources to ensure the technical and architectural goals of projects project are met and in line with UMA standards.
Ensure all project and development efforts properly align to UMA's EDM Strategy, Architecture Vision, and Security and Documentation Requirements.
Drive project knowledge back to the enterprise data model and ensure that it evolves correctly.
Provide regular advice and direction during program execution.
Manage, mentor, develop, and coach all levels of the Enterprise Data Management Team.
Lead a team of direct reports that could be comprised of multiple functional area architects (ETL Architect, Database Architect, Data Warehouse Architect, Business Intelligence Architect).
Responsible for creating, articulating, and enforcing UMA's overall Enterprise Data Management vision, architecture, and best practices and standards at multiple levels of the Enterprise Data Management Team.
Provide data related mentoring and coaching for architects across the EDM Team.
Technical:
Own the data architecture and oversight of core data platform, to facilitate Master and Meta Data Management, Data Governance, Data Quality Management, Data Integration and Distribution, Data Security, and Reporting / Business Intelligence.
Define the vision, strategy and principles for enterprise data management across at UMA.
Responsible for the design, creation, optimization of data assets across multiple business units for both tactical and strategic initiatives across UMA.
Understand business drivers and work with the Director of Application Development to develop of 3-year data roadmap that includes developing information management strategy, processes & tools, data technology opportunities, and data architecture & frameworks.
Create and serve on the Data Governance Board and act as the main liaison between governance/user and technology interests within the organization.
Establish and lead in the usage of world-class processes to achieve consistent results.
Engage Stakeholders to Define Process, Definitions, and Standards.
In conjunction with business and key IT stakeholders, lead the definition of standards for naming, describing, governing, managing, modeling, cleansing, enriching, transforming, moving, storing, searching and delivering all data within the enterprise.
Must maintain a solid understanding of current and emerging tools and determine when to use them.
Coordinate with other Data Architects on the evaluation of new tools, products, frameworks and technologies with the goal of ultimately providing direction and selection criteria that will be used to evaluate and select among other items an Enterprise Data Management Tool, Business Intelligence Tool, Storage Concepts, and Big Data Platform and Framework.
Drive the customers' transformation to Modern Data Architecture & store technologies such as Database/Data Warehouse, NoSQL, and Hadoop.
Educate technical and non-technical stakeholders and report owners on their roles and responsibilities as it relates to Enterprise Data Management.
Training and Development:
Continued development as the company's preeminent source of data information, focusing on new and evolving data and architectural concepts and frameworks, governance, and process.
Attend conferences, lectures, online offerings, formal and informal training and identify executive certificate opportunities.
Areas of focus could include: ITIL, COBIT, TOGAF, etc.
Business Leadership
Champion UMA's Enterprise Data Management Strategy that will promote the growth of the organization capabilities, technical maturity, and the Enterprise Data Management team.
Act as a subject matter expert for the data architecture, framework, development, tools and technologies, and design to assist the business/operations and IT with solutions.
Develops a deep understanding of the current/future technical challenges of customers, and based on that understanding, formulates an aspirational data architecture and transformation roadmap.
Coordinate with other Data Architects to provide technical leadership to drive data and technology choices, strategy, and implementation decisions to achieve high reliability and performance.
Support Institutional Initiatives
Keep current on institutional goals, objectives, and progress
Engage in institutional sponsored activities and initiatives as appropriate
Lead with courage in support of change initiatives that impact organization
Manages and assists in coordinating efforts between departments within UMA
Compliance:
Demonstrates knowledge of, and carefully follows all applicable federal and state compliance requirements and regulations including those prescribed by the Department of Education, accrediting agencies, CIE, and internal UMA policies and procedures.
Effectively communicates compliance requirements to students and other staff as appropriate and quickly escalates any compliance concerns to the Compliance department.
Work Experience, Skills & Abilities:
Minimum Requirements:
A Bachelor’s Degree in Computer Science or related discipline, or the equivalent in work experience.
Minimum 10 years diverse experience in designing and managing innovative data solutions beyond ETL and Warehousing.
Minimum 10 years experience implementing strategic, technical, architectural, and governance solutions related to Enterprise Data and Business Intelligence. Including: Business and IT Strategy Development, IT and DW Assessments, Project Planning, Estimating and Management, Executive Dashboard Reporting, Business Intelligence/Data Analytics, Data Warehousing, Data Modeling, Data Architecture Development, Database Design, Development and Administration, and Enterprise Data Management and Governance.
Minimum 15 years broad experience in the information technology to include business architecture, information architecture & strategy, IT strategic planning in a medium to large corporations.
Minimum 15 years experience in master data management, business intelligence and data warehousing.
Broad knowledge of vendor capabilities in data management solutions – Master Data Management, Data Warehousing, Big Data, Data Quality, Business Intelligence etc.
Experience working with Chief Security Officers to ensure security requirements are met and safeguards are firmly in place. These safeguards would be based on the results of a Data Security Assessment and would align with applicable regulatory requirements that could include Sarbanes-Oxley and Gramm-Leach-Bliley Acts.
Maturity to participate in multiple complex programs at the same time in an agile environment.
Ability to handle teams working in multiple sites that could include onsite, offshore, or near shore.
Provide clear, continuous, and consistent data architecture leadership at a detailed level within assigned project.
Able to professionally communicate in verbal and written English.
Proficient in MS Office (Word, Excel, PowerPoint) and other business tools such as Skype and Microsoft Teams.
Technical Skills:
Expert knowledge in Enterprise Data Management, Business Intelligence, and ETL Tools.
Expert knowledge of Entity Relationship modeling, metadata systems, data quality tools and techniques.
Current with data trends and opportunities that align with UMA's data objectives (e.g., Cloud, Big Data, Tools, etc.)
Skilled at logical and physical data modeling, architecture, warehousing, strategy and query languages.
Data Analysis and Quality Control:
Implement a set of process and procedures that ensure that all production level code goes through rigorous testing and proper stage gate processes before going live.
Create checklists that define the requirements must be adhered during the development life cycle.
Ensure that all work is properly documented and that all stakeholders are informed of any changes made to the code, processes or data and their implications on future and previously reported data.
Create a consistent release cycle for new development projects, system maintenance, and bug fixes where and when possible.
Provide process and procedures for daily monitoring and data validation to ensure consistency in the system and anticipate potential issues before they are reported by end users.
Functional Skills:
Expert knowledge in Data Architecture, Enterprise Data Management and Governance, Master Data Management, Data Warehousing and Business Analytics and Intelligence.
Strong experience and a deep understanding of data usage and lifecycles across the corporate infrastructure.
Proven experience in managing the complete SDLC from architecture to delivery.
Deep understanding of various ETL, Data Management, and Business Intelligence tools is required.
Broad knowledge of Big Data principles and tools that will enable data efforts beyond Relational Databases (e.g., JSON/XML, NoSQL, Hadoop, YARN, Azure SQL, AWS Aurora, etc.).
Communication/Teamwork/Service Focus
Excellent communication skills that will enable them to present a solid business cases, form partnerships, and frame issues for a wide variety of stakeholders including executive management.
Collaborate with relevant business and functional heads to ensure alignment with tactical and strategic goals.
Deliver convincing and persuasive presentations to both technical and business teams.
Build strong performing teams, that are capable of accomplishing objectives without supervision.
Interpersonal skills to that allow them to work with other data architects, other team within IT, and functional heads of the business units.
Strategy:
Must possess strong organizational, facilitation and critical thinking abilities, to assess complex problems, analyze options, navigate diverse perspectives and objectives and develop acceptable Enterprise application and governance solutions.
Must be able to understand and communicate the data requirements of any future infrastructure needs, working with the IT architects to develop an approach that fits the current and planned needs of the enterprise.
Able to support a diverse and inclusive work environment.
Working Environment:
Office Environment
Flexibility to work evenings and weekends as needed.
Physical Demands:
Requires long periods of sitting at a desk working on a computer.
Requires occasional bending, stooping and squatting
Requires occasional lifting of up to 10 lbs","anager, Enterprise Dat"
21,"ndependent Contractor: Business Analyst

About Us:

Market Traders Institute Inc. (MTI) is an industry leader in trading technology and investor education for the past 25 years; based in Orlando, Florida. We help investors make better, faster, and smarter trading decisions by using our proprietary strategies and trading technology. MTI has been recognized as an INC. 5000 (2015 & 2016) fastest growing employee oriented culture companies in America and has received several awards for being a Best Place to Work in Central Florida the last several years.

Position Summary

This is an independent contractor role with the anticipated expectation of three months duration. This position will need to work on-site in Orlando, FL. The Business Analyst will work directly with the cross functional teams to gather requirements for salesforce.com upgrade and data migration. The Business Analyst will provide detailed reports on business performance, conduct operational analysis, and implement process improvements.

Primary responsibilities:
Responsible for detailed gathering of business and technical requirements
Responsible for Quality Assurance of the work as it is marked done by the
Development team
Anticipate and identify problems and engineer appropriate solutions
Must have an acute attention to detail and place the highest importance on the
accuracy of their work
Produce and analyze reports of business performance, based on a variety of metrics
Write business case proposals, including detailed cost/benefit analysis
Create appropriate and impactful presentations based on audience needs
Develop method changes to improve processes, reduce risks, and/or increase customer
satisfaction
Drive initiatives to create value and increase operational efficiency
Identify opportunities for improvement and implement appropriate solutions
Additional duties as assigned
Required Qualifications
Excellent effective communication skills
Minimum 3 years of experience with Salesforce
Minimum 3 years of experience with Microsoft Excel
3+ years of experience in business analytics role
3+ years working in an Agile Environment
Detail-Orientated
Capacity to understand technology
Employment Statement

MTI is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.

Qualified candidates will be asked to submit to a background screening.

Market Traders Institute, Inc. is an Equal Opportunity Employer",usiness Analyst - Independent Contracto
22,"ANDORA Las Vegas is GROWING!! Come Join our TEAM as we embark in the opening of our New location at The District at Green ValleyRanch! Looking to fill positions for that location as well as our other 9 locations.
PANDORA provides a universe of hand-finished and modern jewelry primarily made from solid sterling silver and 14K gold. PANDORA celebrates sentiments and creating one’s style through our jewelry. Our purpose is simple- Give a Voice to People's Loves.
PANDORA Las Vegas is seeking Associate Management Professionals who excel in delivering a great client experience in a friendly, energetic, customer-service oriented environment. The Associate Store Manager is responsible for the day-to-day store operations in partnership with their leadership team. These functions include being a selling Manager, excelling with customer experiences, visual merchandising, daily store operations, recruiting and hiring, and driving the overall store business. The Associate Manager reports directly to the Store Director.
Primary Job Functions
Sales & Customer Service Management
Merchandising/Inventory and Floor Management
Training and Developing Staff
Operations Management
Communication
SKILLS AND QUALIFICATIONS:
2+ years of retail experience, with at least 1 year of management experience
Solid business acumen and analytical skills and can confidently analyze and speak to the store’s business
Excellent visual merchandising skills, knowledgeable of our merchandise and confident making visual decisions based on our clients’ buying patterns
Proven leadership skills and strong personal presence
Demonstrated success in recruiting, training, revenue generation, and operations
Excellent communication, delegation, follow-up, and time-management skills
Proven ability to multi-task and direct activities at all levels
Capable of lifting up to 40 pounds
Ability to work a rotating schedule, including nights, weekends, and holidays, based on the needs of the business
Proficient knowledge of Microsoft Word, Excel, PowerPoint and Outlook
Associates degree or equivalent in work experience
This job description in no way states or implies that these are the only duties to be performed by this employee. He or she will be required to follow any other instructions and to perform any other duties requested by his or her manager",ANDORA Jewelry Assistant Manage
23,"hy ThedaCare?
A respectful and challenging work environment, supportive colleagues, vibrant communities, and the great feeling that comes with making a difference in other people's lives. These are just a few of the reasons to choose ThedaCare as the home for your career!

We are looking for team members who put our patients and families at the center of their work; who have an unrelenting passion for safety and quality; and who will contribute to a great working environment where everyone can do their best.
Job Description Summary :
Job Description:


SUMMARY

Manages the ThedaCare Marketing Technology stack, insuring all platforms and tools are integrated and optimized to drive marketing effectiveness.

DUTIES AND RESPONSIBILITIES

Serves as a marketing advisor on the role of digital technologies within the marketing ecosystem. Defines scope, recommended approach, strategies, and plans for the application, integration and adoption of digital marketing technologies and platforms. Manages and prioritizes digital marketing projects from planning through deployment ensuring appropriate communication throughout the project. Leads CRM and marketing automation initiatives. Leads search engine optimization (SEO) and search engine marketing (SEM) initiatives, meeting desired outcomes. Codifies and publishes formal frameworks and methodologies for approaching digital marketing platforms, channels and solutions. Establishes metrics and monitors ongoing performance to insure objectives are met. Serve as a resource for marketing and communications in the development of insight- driven digital strategies from opportunity identification through to experience definition. Forges, establishes, and manages vendor relationships as appropriate.

Qualifications
Bachelor’s Degree in IT, development, marketing and / or related discipline.
5 years of experience leading digital strategy and execution, marketing automation, CRM, web and mobile development.
5 years of experience with business analytics and strategy development.

Physical Demands
Ability to move freely (standing, stooping, walking, bending, pushing and pulling) and lift up to a maximum of twenty-five (25) pounds without assistance
Category 2: Job classification is not exposed to blood borne pathogens (blood or bodily fluids) while performing job duties
Work Environment
Normally works in climate controlled office environment
Frequent sitting with movement throughout office space
Scheduled Weekly Hours:
40
Scheduled FTE:
1
Location:
ThedaCare Corporate Office - Appleton,Wisconsin
Overtime Exempt:
Ye",enior Marketing Technologis
24,"VERVIEW
Movement Strategy is an independent social-led creative agency with a focus on digital marketing initiatives through the combined use of strategic creative and a deep knowledge of the latest social features, too
ls and digital trends. Now at its 10-year tenure, Movement produces groundbreaking work for partners including Under Armour, Amazon Prime Video, Warner Bros., Netflix, TruTV and Punch Bowl Social.
We’re in search of a Senior Data Strategist (5-6 years experience) to join our Denver or NYC office. The right fit will be a leader with deep experience in social, a strong communicator in internal and client-facing capacities, and most importantly, able to craft stories using data that lead to strategic insights that truly impact the business of high-profile clientele.
We work closely with leading brands that span across a variety of industries and global markets. Delivering business results through bespoke creative and unexpected collaborations, rooted in strategy and data, is what drives our continued success. We believe in true partnership, team collaboration, non-stop hustle, and a good whiteboard session. We take great pride in a company culture grounded in the entrepreneurial spirit and personal growth. We’re a group of passionate creative thinkers here, with a point of view and fresh perspective.
You’ll be an excellent fit if you’re able to lead junior team members as well as lead cross-department initiatives, you understand (and have strong opinions on) the best metrics for evaluating social success (and you’re able to be honest and tactically deliver social misses), and you’re not afraid to dive into the work of down-and-dirty data evaluation. On any given day you might be working with the creative team (communicating optimizations to make the work better); the business strategy team (working closely to use data to shape brand strategy); the project management team (leading data-driven projects) and the internal leadership team (helping to shape the department moving forward). What will be a constant is leading both ongoing reporting and strategic thinking for the agency.
You’d be reporting to the Director of Data and Insights and joining a team that includes Social Data Strategists and Social Data Analysts to support and share insights across accounts and responsibilities. You’d also be working extremely closely with a world-class paid media team to analyze the paid media impact on every brand we work with.
RESPONSIBILITIES
Critically analyzes the unique consumer, cultural implications, client categories and the companies we’re working with through quantitative and qualitative measures
Leads and mentors junior team members to continually improve upon data analysis and strategic implications
Knowing current and emerging digital platforms better than everyone else you know, including best practices and trends that are integrated into strategic recommendations and reports
Creates work that distills multiple sources of information into a cohesive story; works closely with all departments and generates/provides insight to all team members
Thinks strategically about how data is presented, not just resting on a “report” but always thinking about and providing the most impactful presentation of data, no matter what that looks like
Pushes to make everything better: yourself, your reporting, our relationships with clients and the work we’re producing

REQUIREMENTS
At least 5 years in social data analysis within an agency environment
Strategic thinker at the core with the ability to identify insights and build compelling stories from data
Ability to creates and present client-facing work ranging from hands-on clientele to high-level C-suite
Experience creating a compelling story from the data in each presentation, incorporate inputs from various departments, as well as presenting internally and to senior-level clients
Deep experience in all social/digital data sources across paid, owned, and earned media (social listening, site analytics, business intelligence software, syndicated consumer research systems, native platform insights and third-party social analysis tools)
Must be able to utilize current tools as well as drive recommendations for supplemental/replacement tools that will drive agency capabilities forward
Tools including but not limited to: Google Analytics, Adobe Business Catalyst, Facebook Insights, Facebook Business Manager/Power Editor, Twitter Insights, Instagram Insights, Netbase, Sprinklr, Domo, GlobalWebIndex, Minter.io, RivalIQ
Must be able to create measurement plans from scratch, including KPI definition, benchmarking, goal setting/forecasting and lead ongoing reporting, ensuring understanding and application of optimizations
Excellent written and verbal communication skills
Maintain high standards and impeccable attention to detail across internal and external deliverables
On top of the latest industry trends, breakthrough creative campaigns, and emerging technologies

IDEAL QUALITIES
You’re proactive and naturally curious about the digital space, constantly looking for opportunities
You are passionate about the work you do and treat your client’s business as if it were your own
You make others’ jobs easier (no matter who they are or what they do)
You create a positive and open environment when around others
Your attention to detail is unmatched
You’re the hardest worker in town
You know how to hustle
PERKS
100% employer contribution for heath, vision and dental
401k plus match
Paid vacation and sick
Life insurance
Commuter benefits
Movement Journey – Stipend for continued education or personal growth
Amazing colleagues",r. Data Strategis
25,"magine if you were flying a plane and had to access multiple systems and interfaces to get the information needed to do your job (i.e. weather, route, and fuel consumption). Now, imagine if all of the information you need were available in an integrated solution tailored to your specific needs.

Join Sila, where you will help our clients build meaningful software solutions which provide centralized access to multiple aviation tools in a single application.

This position will allow you to hone your business analysis craft while working with teams across web development, mobile applications, infrastructure and application development. You’ll interface with chief technical pilots across the aviation industry to understand and represent their pain-points to ensure products developed help pilots work more efficiently.
WHAT YOU'LL DO
Assess and define business need and area for improvement
Champion customer needs with appropriate delivery teams
Document customer solution to ensure that customer needs, gap alternatives and integration points have been clearly defined
Identifies capability gaps and proposes potential solutions
WHAT YOU'LL BRING
A proven track record with at least 3 years working as a Business Analyst, preferably in a consulting environment
Proven experience producing documentation such as: technical requirements, functional specifications, data flow diagrams, test cases, requirements traceability matrices, detailed specifications requiring swim lanes, flow charts, wireframes/mockups, user stories, and use case documentation
Ability to work independently with minimal guidance and effectively manage multiple projects at any given time, setting priorities, schedules, and meeting deadlines
A deep empathy for the business owners you support
Ability to remove roadblocks, take initiative, and move things forward
The ability to interface comfortably with business, technical and UX teams
Excellent verbal and written communication skills including the ability to narrate results to business stakeholders and executives in a useful, concise, and actionable way
In depth understanding and working knowledge of various software development methodologies/concepts (e.g. Agile, Kanban, Waterfall)
WHAT SILA WILL DO
Value and listen to your contributions whether you have been at Sila for years or are just starting your journey at Sila
Provide opportunities for professional development including conferences, brown bag lunches and learning new languages and tools
Reward employees for continuous learning and knowledge sharing
Plan several Sila fun activities each month (i.e. happy hours, game nights, trivia contests, fantasy sports leagues, and outdoor adventures)
Invest in charitable events and encourage staff to generate new volunteering opportunities
Sila will not sponsor any employee in this position for a work visa, now or in the future (i.e. H1-B visa, F-1 visa (OPT), TN visa or any other non-immigrant or immigrant status)

About Sila

Sila is a technology and management consulting firm that delivers solutions to the world’s leading corporations. Our solutions expertise lies in the areas of risk management, data analytics, software engineering and integration, strategy and transformation, and digital creative services. We are a values-driven company with a culture that fosters collaboration, creativity, and social responsibility. Sila employees are part of a community of vibrant, high-performing contributors who push each other to achieve the highest standard of excellence. Our team members have extensive opportunities to discover their passions and shape their own career paths, and we continually invest in employees’ growth through innovative training, mentorship, and professional development programs. Staff are quickly immersed in clients’ business challenges, work closely with emerging technologies to develop impactful solutions to these challenges, and are exposed to a variety of industries and market offerings.

We are looking for full-time employees to become an integral part of our growing team. Sila is headquartered in Seattle, WA and has offices in Shelton, CT and Washington, D.C. Sila offers a range of great benefits including a comprehensive healthcare package, 401K with matching, paid time off, and paid company holidays, as well as other unique benefits that support our staff’s active work/life balance.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law",enior Business Analys
